so too does the idea that accommodating religious differences is dangerous	L’ idée de concilier les différences religieuses semble donc dangereuse .
mr president i think that there is already a consensus emerging from the first few speeches the commission 's response and its proposal do not currently respond to the situation	Monsieur le Président , je crois qu' il y a déjà un consensus qui se dégage des premières interventions : la réponse de la Commission ou la proposition de la Commission , pour l' instant , n' est pas à la hauteur de la situation .
incineration may increase as stricter controls are put on landfill but it does not go hand in hand with recycling and environmentally friendly waste - disposal methods	Il se peut que les incinérations augmentent car des contrôles plus stricts sont imposés aux décharges , mais cela ne va pas de pair avec le recyclage et des méthodes d' élimination des déchets respectueuses de l' environnement .
i therefore consider it highly necessary to support and complete the amendments of the committee on economic and monetary affairs which provide a sensible framework for the commission 's proposal	J' estime dès lors qu' il est fondamental de soutenir et de compléter les amendements déposés par la commission des affaires économiques et monétaires , qui fournissent un cadre pertinent pour la proposition de la Commission .
i hope it will be	J' espère qu' elle le deviendra .
we had no idea did they distinguish into different populations	On ne savait pas si ils se répartissaient en plusieurs population ;
and now thanks to the fiscal compact even the eurozone ’s core will be forced into front - loaded recessionary austerity	Et maintenant , grâce au contrat fiscal , même le noyau de la zone euro devra adopter l' austérité de récession en début de période .
the humanitarian context has changed profoundly in recent years hence the need to improve the eu 's disaster response capability	Le contexte humanitaire a profondément changé au cours des dernières années , d' où le besoin d' améliorer la capacité de réaction de l' UE .
it would be wrong nonetheless for the european union to deny itself these resources	L’ Union européenne aurait , néanmoins , bien tort de se priver de ces moyens .
can it clarify whether the inspectors were acting on behalf of nafo or the canadian government	Peut - elle indiquer si les inspecteurs agissaient en tant qu' inspecteurs de la NAFO ou en tant qu' inspecteurs du gouvernement canadien ?
we do not aspire to lay down ourselves from strasbourg those constituencies which geography history economic and cultural conditions have determined	Nous n' avons pas la prétention de fixer , depuis Strasbourg , des circonscriptions que la géographie , l' histoire , les conditions économiques et culturelles ont modelées .
the change to organic farming must be a free decision on the part of farmers and to be successful it must take place gradually	Le passage à une agriculture biologique doit être un choix délibéré de l' agriculteur . En outre , son succès dépend d' une mise en oeuvre graduelle .
now let 's go to the visuals	Maintenant , passons à la scénographie .
the european parliament has just proposed increasing the total to ecu 91 750 billion	Or le Parlement européen vient de proposer une augmentation du total à 91 , 750 milliards d' écus .
as a result even if the will to change suddenly and miraculously emerged in today ’s kremlin the illegitimacy of the entire federal government would render effective policymaking impossible	Il en résulte que même si le Kremlin devait soudain miraculeusement opter pour le changement , l’ illégitimité de l’ ensemble du gouvernement fédéral rendrait impossible tout processus décisionnel efficace .
you can determine the sex of the individual based on the size of the teeth	Vous pouvez déterminer le genre d' un individu en vous basant sur la taille des dents .
regrettably the issue of international trade is often missing from such debates thus leading to the search for solutions which ignore the positive potential that increased world consumption can have	Malheureusement , la question du commerce international est souvent omise dans ces débats , ce qui conduit à rechercher des solutions qui ignorent l' impact positif que pourrait avoir une hausse de la consommation mondiale .
you send one message and it goes out to everybody and you receive the messages you 're interested in	Vous envoyez un message et il est transmis à tout le monde , et vous recevez les messages qui vous interessent .
at the same time i support an agricultural policy which is orientated as much as possible to ensuring access for eu agricultural products to third country markets	En même temps , je soutiens une politique agricole visant , dans la mesure du possible , à garantir l' accès aux marchés des pays tiers pour les produits agricoles européens .
we are convinced that the main reasons for this poverty and malaise are political caused by the failure to resolve the conflict in transnistria as franz fischler pointed out here last month	Nous restons convaincus que la cause principale de cette pauvreté et de ce malaise est d' ordre politique et découle en particulier de l' incapacité à résoudre ce conflit de Transnitrie , comme Franz Fischler l' avait souligné devant vous le mois dernier .
in the ppe - de group we consider that the relevant directive could now be reviewed	Le groupe PPE - DE estime que la directive correspondante peut aujourd'hui être revue .
a recent widely cited book by william easterly - a former economist at the world bank and an expert on aid and development - provides a mountain of shocking stories about local elites squandering foreign assistance	L' ouvrage récent , et abondamment cité , de William Easterly , ancien économiste de la Banque mondiale et expert en aide internationale et en développement , présente une montagne d' anecdotes choquantes à propos des élites locales dilapidant l' aide internationale .
although some countries have resisted the trend inequality has been increasing over the last 30 - 40 years in the world as a whole	Bien que certains pays aient résisté à la tendance générale , les inégalités ont augmenté dans le monde entier au cours des 30 - 40 dernières années .
and in particular to think about a fundamental idea which i think makes sense out of a tremendous amount of variation in the harmfulness of disease organisms	Et en particulier de réfléchir à une idée fondamentale dont je pense qu' elle donne du sens à une énorme quantité de variations dans la nocivité des agents pathogènes .
the dialogues are perfect tools for monitoring integration processes learning about mutual interests intentions request as well as obligations determining and if necessary altering methods and of inclusion programs	Le dialogue est l' outil idéal pour suivre l' évolution du processus d' intégration , pour apprendre à connaître les intérêts mutuels , les intentions , les demandes ainsi que les obligations , pour déterminer et , si nécessaire , adapter les méthodes et les programmes d' inclusion .
secondly the more political part elections human rights greater democracy	Deuxièmement , le volet plus politique : les élections , les droits de l' homme , la démocratisation .
the anchovy stock in the bay of biscay was threatened with collapse and the fishery was therefore closed in 2005	Le stock d' anchois dans le golfe de Gascogne était menacé d' épuisement , raison pour laquelle la pêche a été fermée en 2005 .
this report turns the spotlight on our present deficits and also makes very definite proposals where changes are necessary	Ce rapport met en évidence les déficits existant actuellement et fait des propositions très concrètes là où des modifications s' imposent .
everything was very good	Tout était très bon .
this opportunity is called barack obama	Cette opportunité s’ appelle Barack Obama .
yet his agenda is stalled and the country ’s ideological divisions grow deeper	Or , son agenda est au point mort et le fossé entre les diverses opinions du pays s’ élargit .
you grabbed my ass	Vous m' avez empoigné les fesses !
i 've looked to see what is the relationship between higher commodity prices of exports and the growth of commodity - exporting countries	J' ai cherché à trouver la relation qui existe entre un prix d' export plus élevé pour les matières premières et la croissance des pays exportateurs de matières premières .
i found the empty box	J' ai trouvé la boîte vide .
a nurse wears white	Une infirmière s' habille en blanc .
tom had his wallet stolen while he was in boston	Tom s' est fait voler son portefeuille quand il était à Boston .
i am aware of the problems the trouble and the annoyance caused to communities living next to major road transport arteries and this is why we are looking at how we can improve the quality of this traffic	Je connais les problèmes , les inconvénients et les gênes dont souffrent les populations riveraines des grands axes de trafic routier et , à cet égard , nous étudions la façon d' améliorer la qualité de ce trafic .
i have heard commissioner verheugen use the term ‘ zero tolerance ’ and i find it an appealing one	J’ ai entendu le commissaire Verheugen utiliser le terme de " tolérance zéro " , que je trouve attirant .
he is the most valuable player in our team	C' est le meilleur joueur de notre équipe .
he is indeed a man of his word	Tu es vraiment un homme de parole .
in this context i would also like to stress the need for broad consultation and national consensus on turkey 's new constitution	Dans ce contexte , je voudrais également souligner la nécessité d' organiser une vaste consultation et de parvenir à un consensus national sur la nouvelle constitution de la Turquie .
we have two options	Devant cette situation , il y a deux options .
internal self - determination could allow degrees of cultural economic and political autonomy similar to that which exists in countries like switzerland or belgium	L’ autodétermination intérieure peut permettre des degrés d’ autonomie culturelle , économique et politique semblables à celles que l’ on rencontre dans des pays comme la Suisse ou la Belgique .
aceh province in indonesia was previously largely closed to outsiders it was ruled by the indonesian army which fought a brutal civil war against the separatist free aceh movement	La province d’ Atjeh en Indonésie , auparavant presque fermée aux étrangers , est dirigée par l’ armée indonésienne , qui lutte brutalement contre le mouvement indépendantiste Atjeh libre .
what sports do you like	Quels sports aimes - tu ?
fr madam president commissioner ladies and gentlemen i have followed this issue very closely within the committee on employment and social affairs and the committee on women 's rights and gender equality alike	Madame la Présidente , Monsieur le Commissaire , chers amis , j' ai suivi ce dossier avec beaucoup d' attention dans la commission " Emploi et affaires sociales " , comme dans la commission des droits de la femme .
it took almost 30 years for anyone in the world to crack this problem	Il a fallu presque 30 ans pour n’ importe qui dans le monde pour résoudre ce problème .
member states must publish mandatory public procurement guidelines for energy efficiency improvement	Les États membres doivent publier des lignes directrices , publiques et obligatoires , concernant l’ amélioration de l’ efficacité énergétique .
eu biofuels policy does not reduce the availability of food as the quantities of feedstocks used are very small on a global scale	La politique de l' Union européenne relative aux biocarburants ne réduit pas la disponibilité des aliments , car les quantités de matières premières utilisées sont très faibles à l' échelle mondiale .
the council adopted most of the amendments of the committee on the environment public health and consumer policy and the council 's mostly technical adjustments were easy to incorporate	Le Conseil a adopté la plupart des amendements de la commission de l' environnement , de la santé publique et de la politique des consommateurs . Les modifications essentiellement techniques souhaitées par le Conseil ont été faciles à intégrer .
if their movement to other states is facilitated it will be much more difficult to check the genuineness of their status and more difficult to locate them when their status is found not to be true	Si leurs déplacements vers d' autres États est facilité , il sera bien plus difficile de vérifier l' authenticité de leur statut et plus compliqué de les localiser une fois constatée l' inauthenticité de leur statut .
the girl buys milk at the market	La fille achète du lait au marché .
the uk proposal does not even take account of the geographical diversity of the member states and cuts those structural funds that are vital to southern and eastern europe	La proposition britannique ne tient même pas compte de la diversité géographique des États membres et réduit ces Fonds structurels qui sont vitaux pour l’ Europe du sud et de l’ est .
we wanted to build in flexibility	Nous souhaitions intégrer la flexibilité .
therefore my group will not support these amendments	C' est la raison pour laquelle mon groupe ne soutient pas ces amendements .
in that statement it stresses that the production and marketing of safe food must be one of the european union 's priorities and that a high level of health protection must be ensured	Dans cette déclaration , le Conseil européen souligne que la production et la commercialisation de produits alimentaires sûrs doivent faire partie des priorités de l' Union européenne et qu' il s' agit de garantir un haut niveau de protection de la santé .
a couple of years ago i was hiking near cody wyoming	Il y a quelques années j' ai fait une randonnée près de Cody , Wyoming .
during the same period around 300 hungarians were beaten in serbia without any legal repercussions	Au cours de la même période , près de 300 Hongrois ont été tabassés en Serbie sans qu' il n' y ait la moindre répercussion pénale .
and so the spongy soil not only resists erosion but sets up a microbial universe that gives rise to a plurality of other organisms	Et c' est ainsi que le sol spongieux , non seulement résiste à l' érosion , mais met en place un univers microbien qui donne naissance à une pluralité d' autres organismes .
europe has made some modest efforts to regain university competitiveness	L’ Europe a fait quelques modestes efforts pour rendre ses universités compétitives à nouveau .
this is why qaddafi ’s lynching party is a dangerous omen for libya	C' est pourquoi le lynchage de Kadhafi est de mauvais augure pour la Libye .
our annual action programmes will explain more clearly what we have done with regard to consultations	Nos programmes d' action annuels expliqueront plus clairement ce que nous avons fait pour les consultations .
in connection with amendment no 18 on the commission 's powers of inquiry this is not a matter for the financial regulation but for arrangements between the institutions	Au sujet de l' amendement 18 sur les pouvoirs d' enquête de la Commission , cette matière ne relève pas du règlement financier mais d' arrangements entre les institutions .
and then in a way i knew that they had always been there	Et puis , d' une certaine manière , je savais qu' elles avaient toujours été là .
madam president i was here in parliament when the chernobyl explosion took place	Madame le Président , je me trouvais ici , au Parlement , lorsque l' explosion s' est produite à Chernobyl .
what is this	Qu' est -ce que c' est ?
can the dentist see me today	Le dentiste pourra - t - il me consulter aujourd'hui ?
i 'm sorry but i 'm going home	Désolé , mais je vais chez moi .
with regard to the timetable today at the meeting of the security committee the proposal has been presented to the group of experts and the intention is that in two months time the report will have been produced	Pour ce qui est du calendrier , la proposition a été présentée aujourd'hui même au groupe d' experts au cours de la réunion du comité de sécurité et notre ambition est que le rapport soit élaboré dans deux mois .
wo n't you come to the party tomorrow	Ne viens - tu pas à la fête , demain ?
consequently i believe that we have struck a good balance	Par conséquent , je crois que nous sommes arrivés à un bon équilibre .
a one - word answer will suffice	Une réponse en un mot me suffira .
and at night i would lie out looking at the unpolluted sky as delhi used to be at that time when i was a kid and i used to stare at the universe and say how far does this universe go	Et la nuit je me couchais dehors sous le ciel pur comme Delhi était à cette époque , quand j' étais petit , et j' avais l' habitude de scruter l' univers et de dire , " Jusqu' où s' étend cet univers ? "
i can not give you a definite answer today	Je ne peux pas vous donner une réponse définitive aujourd'hui .
mrs sudre the purely legal issue here is about whether we can vote on the substance of this motion on thursday	- Madame Sudre , la question - purement juridique dans ce cas - ci - est de savoir si nous sommes en mesure de voter sur le fond de cette proposition ce jeudi .
it is necessary to pull all these strands together and to strike an appropriate balance	Il est nécessaire de rassembler tous ces points et de trouver l' équilibre approprié .
what are all the possible ways that we can think of to get everybody in the middle of a musical experience not just listening but making music	Quelles sont toutes les possibilités qu' on peut imaginer pour plonger les gens dans une expérience musicale , pas seulement par l' écoute mais en jouant de la musique ?
it failed partly because the courts are too passive partly because the legislatures are corrupted by which i do n't mean that there 's bribery operating to stop real change but more the economy of influence that governs how congress functions means that policymakers here will not understand this until it 's too late to fix it	Cela n' a pas marché : la justice est trop passive , et les députés trop corrompus . Cela n' a pas marché : la justice est trop passive , et les députés trop corrompus . Je ne veux pas dire par là que de la corruption empêcherait un changement , mais que le climat d' influences qui gouverne le Congrès fait que le législateur ne comprendra le problème que trop tard . fait que le législateur ne comprendra le problème que trop tard .
he has challenged us to look to the future not just in relation to milk itself but also to milk products and ways in which we can encourage children to drink milk	Il nous a mis au défi de nous tourner vers l' avenir , pas uniquement par rapport au lait , mais aussi par rapport aux produits laitiers et aux moyens d' encourager les enfants à boire du lait .
one last issue which is very important if we are to speak of resources there is talk of allocating some resources on the level of the european union	Un dernier point , qui est très important : en ce qui concerne les ressources , il convient d' allouer certaines ressources à l' échelon de l' Union européenne .
as it has been written into the articles the provision is legally binding	Par conséquent , la disposition est juridiquement contraignante .
this suggests that a majority of germans still do not yet perceive economic weakness as more important than other more short - term issues	Tout cela suggère qu' une majorité d' Allemands ne perçoit pas encore la situation économique comme plus préoccupante que les problèmes immédiats qui se posent au pays .
it might have been written by a clever lobby of drug traffickers if it had not been different	Elle aurait été rédigée par un habile lobby des trafiquants de drogue qu' elle n' aurait pas été différente .
germany wishes to establish good relations for itself with russia at the expense of the countries of central europe	Celle - ci souhaite nouer de bonnes relations avec la Russie au mépris des pays de l' Europe centrale .
this is the first time that i can remember where if you get a letter from the bank manager about a loan you do n't know if you 're borrowing money from him or if he 's borrowing money from you	C' est la première fois pour autant que je me souvienne , que si on reçoit une lettre d' un banquier à propos d' un prêt , on ne sait pas si on lui emprunte de l' argent , ou si c' est lui qui vous en emprunte .
such support is intended to enable the board to select the first knowledge and innovation communities kics within the 18-month deadline and will in no way pre - empt its strategic decision - making	Cette aide vise à permettre au conseil de sélectionner les premières communautés de la connaissance et de l' innovation dans le délai prévu de 18 mois et n' entravera pas sa prise de décisions stratégique .
yes in the back	Oui , au fond .
you mentioned the financial instruments and the treaties with neighbouring countries	Vous avez mentionné les instruments financiers et les traités de bon voisinage .
the commission will draw up an interim report after completion of the first step of the selection procedure and a final report once the procedure is finished	La Commission rédigera un rapport au terme de la première étape de la procédure de sélection et un rapport final au terme de la procédure .
this is modifying ibm equipment which is the origins of the whole data - processing industry later at ibm	Ils modifièrent le matériel d' IBM qui est à l' origine de l' industrie du traitement de données .
chris could you stand up and let them see you -- a young visionary filmmaker who 's made a film	Chris , pourriez - vous lever pour qu' on vous voit - un jeune cinéaste visionnaire qui a fait un film .
in writing - pl i support this report and mrs van lancker 's view that the common social objectives of the member states should be better reflected in the lisbon agenda	par écrit . - ( PL ) Je soutiens ce rapport et l' opinion de Mme Van Lancker selon laquelle les objectifs sociaux communs des États membres devraient être mieux reflétés par le programme de Lisbonne .
either they do n't want to or they ca n't	Soit ils ne le veulent pas , soit ils ne le peuvent .
so you have to adapt	On doit s' adapter .
i am confident that the proposed collection targets for portable batteries in combination with the proposed high recycling targets will protect our environment against the risks involved in the disposal of those batteries	J’ ai bon espoir de voir les objectifs proposés en matière de collecte des piles portables , combinés aux ambitieux objectifs proposés en matière de recyclage , protéger notre environnement des risques liés à l’ élimination de ces piles .
the commission will include where available data on women in its progress report on the implementation of the strategic guidelines for rural development	Lorsqu' elles sont disponibles , la Commission inclura des données sur les femmes dans son rapport d' avancement sur la mise en œuvre des lignes directrices stratégiques pour le développement rural .
just imagine if this were happening in our countries	Imaginons seulement si ceci s' était produit dans nos pays .
he is clever and moreover he is handsome	Il est intelligent , et de plus , il est beau .
yet the enlarged european union is in need of a new commission and of your strong leadership mr barroso	Pourtant , l’ Union européenne élargie a besoin d’ une nouvelle Commission et de votre leadership puissant , Monsieur Barroso .
companies in these regions are in many cases subcontractors for larger companies in more heavily populated areas	Les entreprises de ces régions sont souvent des sous-traitants de plus grandes entreprises situées dans des régions plus densément peuplées .
what can europe do	Que peut faire l' Europe ?
we non - attached members therefore reject this report	C' est pourquoi nous , les libéraux , rejetons ce rapport .
therefore tomorrow we would be very much in favour of postponing by a month acceptance of the report that contains the part about coaches and deal with it later in june when it is fully ready	C' est pourquoi nous serions extrêmement favorables à un report d' un mois de l' adoption du rapport relatif aux autocars et autobus , afin de mieux le traiter plus tard , en juin , quand il sera réellement bien fini .
we need to figure that out pretty fast	Nous avons besoin de comprendre assez vite .
we communicated with each other by gesture	Nous communiquions ensemble par gestes .
you have regulation information is transcribed catalysts are made stuff is happening	vous avez la régularisation ; de l' information est transcrite ; des catalyseurs sont crées ; un tas de trucs arrive .
the first line of action is an investment strategy to help genuinely implement the lisbon strategy	Première piste , une stratégie d’ investissement au service de la mise en œuvre véritable de la stratégie de Lisbonne .
while this does not seem to create particular problems in category 1 the payment appropriations for the structural funds will very likely be fully used	Alors que cela ne semble pas poser de problème particulier dans la catégorie 1 , il est fort probable que les crédits de paiement pour les fonds structurels soient entièrement utilisés .
if the passengers were growing restive they would rise	Si les passagers devenaient rétifs , ils se lèveraient pour sortir de voiture .
these people are not “ refugees ” because they have not crossed an international border but their experiences are often equally devastating	Ces gens ne sont pas des " réfugiés " , car ils n' ont pas franchi de frontières , mais les épreuves qu' ils endurent sont souvent tout aussi terribles .
it is within this spirit mr president honourable members this spirit of the commission statement that i will continue to work in carrying out the mandate which this august body has entrusted me with	C' est dans cet esprit , Monsieur le Président , chers collègues , esprit qui préside à la déclaration de la Commission , que je continuerai à travailler pour accomplir le mandat que cette auguste Assemblée m' a confié .
i understand that the grain market has collapsed today	Je crois comprendre que le marché des céréales s' est effondré aujourd'hui .
given that the legislative amendments tabled in the proposal are intended to remove bureaucracy and that they are conducive to development i voted in favour	Étant donné que les amendements législatifs contenus dans la proposition tendent à supprimer toute bureaucratie et sont propices au développement , j’ ai voté pour .
the northernmost region somaliland situated strategically at the opening to the red sea and home to roughly 3.5 million of somalia ’s 10 million people is more or less autonomous and stable	Tout au nord du pays , le Somaliland , stratégiquement situé au bord de la mer Rouge avec environ 3,5 millions des 10 millions d’ habitants qui peuplent la Somalie , jouit d’ un statut plus ou moins autonome et d’ une certaine stabilité .
think of the blockade of the democratic party headquarters yesterday evening - which does not say much about his understanding of the law	Je pense au blocus du quartier - général du parti démocratique qui a eu lieu hier soir - cela ne parle pas précisément en faveur de sa compréhension du droit .
their complaint the course propagates conservative ideology in the guise of economic science and helps perpetuate social inequality	Ils lui reprochaient de propager en guise de science économique une idéologie conservatrice dans le but de perpétuer les inégalités sociales .
in the case of animals and humans the real twin known as a homozygote which is the result of the splitting of a single egg represents a natural clone	Chez l' animal et chez l' homme , le jumeau vrai - dit homozygote - issu de la division d' un même oeuf représente un clone naturel .
mr maccormick thank you for highlighting this point	Monsieur MacCormick , je vous remercie d' insister sur ce point .
i really appreciate your offer to help me clean out my garage	Je vous suis vraiment reconnaissante pour votre proposition de m' aider à nettoyer mon garage .
let 's synchronize our watches	Synchronisons nos montres .
robert was so busy he had to turn down an invitation to play golf	Robert était tellement occupé qu' il a dû refuser une invitation de jouer au golf .
nice people with common sense do not make interesting characters	Les gens aimables et plein de bon sens ne font pas des personnages intéressants .
i therefore urge the commission to support it financially of course	Donc , j' en appelle vraiment à la Commission pour le soutenir , financièrement bien sûr .
however the conclusions of the barcelona council postponed the debate on the matter for a year	Néanmoins , les conclusions du Conseil européen de Barcelone remettent les discussions sur le sujet à l' année prochaine .
moreover it is not only the council that is content with this the commission too unfortunately is very pleased about it	Et non seulement le Conseil est pleinement satisfait de cet état de fait , mais la Commission s' y complaît également .
however the general procedures for interoperability must not be defined by a hard case	Les procédures générales de l’ interopérabilité ne doivent cependant pas être définies par une affaire difficile .
it is true that women are more resilient to the current crisis in terms of job losses	Certes , les femmes résistent mieux à la crise du point de vue des pertes d' emploi .
it is of the utmost importance for impunity to be no longer acceptable and for this now also to be universally known	Il est tout particulièrement crucial que l' impunité ne soit plus tolérée et que la chose soit connue partout .
if we are willing to help our partners to build with us genuine world - wide social foundations we must tell them what efforts we are willing make to this end	Si nous sommes disposés à aider nos partenaires pour bâtir avec eux un véritable socle social mondial , nous devons leur dire quels efforts nous sommes prêts à consentir .
this august they passed up the opportunity to mark the 90th anniversary of the start of world war i which led to calamities that echoed until the twentieth century 's end	En août , ils ont laissé passer l' occasion de marquer le 90ème anniversaire du début de la Première guerre mondiale , qui mena à des cataclysmes dont l' écho se faisait encore entendre à la fin du vingtième siècle .
finally in conformity with the spirit of the national debate in france on the environment i voted in favour of a tax on pesticides to encourage our farmers to reduce their use of treatment products	Enfin , en conformité avec l' esprit du Grenelle de l' environnement français , j' ai voté en faveur d' une taxe sur les pesticides à même d' inciter nos exploitants agricoles à réduire leur consommation de produits traitants .
steps need to be taken to create conditions for responsible and sustainable development in other words to build an ecosystem for the sort of knowledge economy that we all want to see	Il s' agit bien de créer les conditions d' un développement durable et responsable , autrement dit un écosystème de cette économie de la connaissance que nous appelons tous de nos vœux .
it could lead to all kinds of new points of contention and differences in interpretation	Il peut faire naître divers nouveaux points de litige et différences d' interprétation .
it will outlaw a revolutionary decision by the european court of justice dated 18 december 2007	Le but est de rendre illégale une décision révolutionnaire prise par la Cour de justice des Communautés européennes en date du 18 décembre 2007 .
the community has gone no further at this moment than a directive on dividends on acts of concentrating businesses and on the prices of transfers between associated undertakings	Le fait est que le chemin communautaire s' arrête au stade de la directive sur les dividendes , les concentrations d' entreprises et les prix de transfert entre entreprises associées .
so the secret is unclear respect	Il y a un secret : le respect .
i am not your enemy	Je ne suis pas ton ennemie .
– mr president no one can doubt the important potential benefits which will accrue from the successful completion of the current round benefits both for developed and for developing countries	. - Monsieur le Président , personne ne peut douter des importants avantages potentiels qui découleront d’ une conclusion heureuse du cycle actuel - tant pour les pays développés que pour les pays en développement .
and he said frank i 've got to share with you this story that just played out in my life he said my knees are still shaking	Il disait : « Frank , il faut que je partage avec toi cette histoire qui vient de m' arriver . » Il a ajouté : « Mes genoux en tremblent encore .
true their security from military attack is currently no longer at stake	Il est vrai que leur sécurité contre une attaque militaire n' est actuellement plus du tout en jeu .
and strangely enough the only plastic surgery that is more popular than breast augmentation is liposuction and most of that is being done by men	Et c' est assez étrange mais la seule opération de chirurgie esthétique qui soit plus populaire que l' augmentation mammaire est la liposuccion , et ce sont essentiellement des hommes qui s' y soumettent .
that is why we are particularly pleased to have been involved in completing this great task which is so important for all the member states of the european union	C' est pourquoi nous nous réjouissons particulièrement d' avoir été impliqués dans la réalisation de cette mission d' envergure , si importante pour tous les États membres de l' Union européenne .
you see you said you do not want any new taxes	Vous avez déclaré que vous ne souhaitiez pas de nouvelles taxes .
i know what they are thinking	Je sais ce qu' ils sont en train de penser .
that is why we came up with a compromise in committee	D' où notre recherche d' un compromis en commission .
although the data support this i regard the developments in france italy and in the next few years spain too with considerable concern	Même si les données appuient cette décision , je vois d' un œil très inquiet les développements en France , en Italie et , au cours des prochaines années , en Espagne .
that is of paramount importance and must be done	C' est indispensable ; cela doit être fait .
or to put it slightly differently one apple feeds one man but an idea can feed the world	En d' autres mots , une pomme peut nourrir un homme mais une idée peut nourrir le monde .
a de facto policy of inflating away the debt might stoke such fears further	Cette frayeur pourrait être renforcée par une politique de fait permettant de dégonfler la dette .
these guys hacked into fox news twitter account to announce president obama 's assassination	Ces types ont piraté le compte Twitter de Fox News pour annoncer l' assassinat du Président Obama .
we can not indeed plan to punish those who download music from the internet just for personal use	Nous ne pouvons , en effet , envisager de punir les personnes qui téléchargent de la musique de pour usage personnel .
unlike groups of credit companies or investment undertakings who are already covered by community legislation there was no text for insurance groups	Contrairement aux groupes d' établissements de crédit et d' entreprises d' investissement , qui sont déjà couverts par une législation communautaire , aucun texte n' existait pour les groupes d' assurances .
the agreement on a common position appears to be a bridge too far for them	L' accord sur une position commune semble aller trop loin pour eux .
this is the u.k government spend	C' est la dépense du gouvernement du Royaume - Uni .
when it comes to straightforward foreign policy issues it is the national parliaments and governments together with the un that should head up the work however	Cependant , pour les questions de pure politique étrangère , c' est aux parlements et aux gouvernements nationaux , avec les Nations unies , qu' il incombe d' agir .
how about conditioning eu support to national researchers on the adoption of selective migration policies	Pourquoi ne pas conditionner le financement européen des chercheurs nationaux à l’ adoption de politiques de migration sélective ?
this mindset suggests that despite the panoramic city skylines the billboards and the flashy five - star hotels say otherwise china has a long way to go before it truly comes to understand and appreciate its actual accomplishments and status	Cet état d’ esprit suggère que malgré les alignements de gratte-ciel , les panneaux publicitaires et les hôtels cinq étoiles tapageurs , la Chine a encore un long chemin à parcourir avant de prendre la mesure de sa réussite et de son statut .
situation in the democratic republic of congo and rape as a war crime debate	Situation en République démocratique du Congo et le viol comme crime de guerre ( débat )
“ present at the creation ” he called his memoir	Il a intitulé ses mémoires « Présent à la création . »
everything that has to do with enlargement is politically sensitive but we have to make sure that in this area too things are done properly in budgetary terms	Tout ce qui a trait à l’ élargissement est politiquement sensible , mais il faut s’ assurer que dans ce domaine également , les choses se déroulent correctement sur le plan budgétaire .
one of the priority actions is to reassure the population frightened by this disease which is unknown in the country	Une des actions prioritaires est de rassurer la population effrayée par cette maladie , qui est inconnue dans le pays .
as regards the structural funds we think that the n+2 rule must be applied	En ce qui concerne les Fonds structurels , nous estimons que la règle N+2 doit être appliquée .
this is the real question before us	Telle est la question à laquelle nous devons nous confronter .
go to school you lazy bastard	Va à l' école ! Paresseux .
she was indignant when i said she was lying	Elle était indignée quand j' ai dit qu' elle mentait .
russia ’s then - president vladimir putin put himself in an analogous bind in 2003 with the arrest of the oil oligarch mikhail khodorkovsky	Vladimir Poutine s’ était retrouvé dans une situation similaire en 2003 alors qu’ il était président , avec l’ arrestation du magnat du pétrole Mikhaïl Khodorkovsky .
i want to hear you play the piano	Je veux t' entendre jouer du piano .
then came bollywood	Puis vint Bollywood .
it is for this reason that whilst we approve some of the amendments we shall abstain from voting on this report	Pour cette raison , tout en approuvant certains amendements , nous nous abstiendrons sur ce rapport .
